Team,League,City,Country,Stadium Name,Capacity,Latitude,Longitude
Real Betis,Spanish La Liga,Seville,Spain,Estadio Benito Villamarín,60720,37.356389,-5.981389
Real Madrid CF,Spanish La Liga,Madrid,Spain,Santiago Bernabéu Stadium,83186,40.453056,-3.688333
Real Sociedad,Spanish La Liga,San Sebastián,Spain,Anoeta Stadium,39500,43.301389,-1.973611
Real Valladolid,Spanish La Liga,Valladolid,Spain,Estadio José Zorrilla,27618,41.644444,-4.761111
Red Star Belgrade,Serbian SuperLiga,Belgrade,Serbia,Red Star Stadium,53000,44.783333,20.464722
S.L. Benfica,Portuguese Primeira Liga,Lisbon,Portugal,Estádio da Luz,64642,38.7527,-9.1847
SC Freiburg,German Bundesliga,Freiburg im Breisgau,Germany,Europa-Park Stadion,34700,48.0216,7.8297
Sevilla FC,Spanish La Liga,Seville,Spain,Ramón Sánchez Pizjuán Stadium,42714,37.384,-5.9705
Sheffield United F.C.,EFL Championship,Sheffield,England,Bramall Lane,32050,53.370278,-1.470833
Sheffield Wednesday F.C.,EFL Championship,Sheffield,England,Hillsborough Stadium,39732,53.411389,-1.500556
ŠK Slovan Bratislava,Slovak First Football League,Bratislava,Slovakia,Tehelné pole,22500,48.1636,17.1369
SK Sturm Graz,Austrian Bundesliga,Graz,Austria,Liebenauer Stadium,16364,47.046111,15.454444
Southampton F.C.,English Premier League,Southampton,England,St Mary's Stadium,32384,50.905833,-1.391111
Sporting CP,Portuguese Primeira Liga,Lisbon,Portugal,Estádio José Alvalade,50095,38.761111,-9.160833
SS Lazio,Italian Serie A,Rome,Italy,Stadio Olimpico,70634,41.933889,12.454722
SSC Napoli,Italian Serie A,Naples,Italy,Stadio Diego Armando Maradona,54726,40.828,14.193
Stade Brestois 29,French Ligue 1,Brest,France,Stade Francis-Le Blé,15931,48.402932,-4.461694
Stade de Reims,French Ligue 1,Reims,France,Stade Auguste-Delaune,21684,49.246667,4.025
Stade Rennais F.C.,French Ligue 1,Rennes,France,Roazhon Park,29778,48.1075,-1.712778
Stoke City F.C.,EFL Championship,Stoke-on-Trent,England,Bet365 Stadium,30089,52.988333,-2.175556
Sunderland A.F.C.,EFL Championship,Sunderland,England,Stadium of Light,49000,54.914444,-1.388333
SV Werder Bremen,German Bundesliga,Bremen,Germany,Weserstadion,42100,53.066389,8.8375
Swansea City A.F.C.,EFL Championship,Swansea,Wales,Swansea.com Stadium,21088,51.6422,-3.9351
Torino FC,Italian Serie A,Turin,Italy,Stadio Olimpico Grande Torino,27958,45.041667,7.65
Tottenham Hotspur F.C.,English Premier League,London,England,Tottenham Hotspur Stadium,62850,51.604444,-0.066389
Toulouse FC,French Ligue 1,Toulouse,France,Stadium de Toulouse,33150,43.583056,1.434167
TSG 1899 Hoffenheim,German Bundesliga,Sinsheim,Germany,Rhein-Neckar-Arena,30150,49.238056,8.8875
UD Las Palmas,Spanish La Liga,Las Palmas,Spain,Estadio Gran Canaria,32400,28.100278,-15.456667
Udinese Calcio,Italian Serie A,Udine,Italy,Stadio Friuli,25144,46.0816,13.2001
US Lecce,Italian Serie A,Lecce,Italy,Stadio Via del mare,31533,40.365278,18.208889
Valencia CF,Spanish La Liga,Valencia,Spain,Mestalla Stadium,49430,39.474722,-0.358333
Venezia FC,Italian Serie A,Venice,Italy,Stadio Pier Luigi Penzo,11150,45.427761,12.363731
VfB Stuttgart,German Bundesliga,Stuttgart,Germany,MHPArena,60058,48.792222,9.231944
VfL Bochum,German Bundesliga,Bochum,Germany,Ruhrstadion,26000,51.49,7.236667
VfL Wolfsburg,German Bundesliga,Wolfsburg,Germany,Volkswagen Arena,28917,52.432778,10.803889
Villarreal CF,Spanish La Liga,Villarreal,Spain,Estadio de la Cerámica,23000,39.944167,-0.103611
Watford F.C.,EFL Championship,Watford,England,Vicarage Road,22200,51.649722,-0.401389
West Bromwich Albion F.C.,EFL Championship,West Bromwich,England,The Hawthorns,26850,52.509167,-1.963889
West Ham United F.C.,English Premier League,London,England,London Stadium,62500,51.538611,-0.016389
Wolverhampton Wanderers F.C.,English Premier League,Wolverhampton,England,Molineux Stadium,31750,52.590278,-2.130278
